	UF	G	CH	CHTOTAL	<=1SAL	>1SAL
0	ac	0.6517900096481004	0.6467582245561077	0.005031785091992758	0.49562036820256783	-0.15382116796384226
1	al	0.6385229688878284	0.6561762224174561	-0.017653253529627655	0.3860190073444073	-0.23924915112636402
2	am	0.6873456147886392	0.7126205450555054	-0.025274930266866225	0.5826543667732574	-0.17606044379070906
3	ap	0.6497672151100939	0.6459694887858745	0.003797726324219486	0.5621297664688183	-0.13517654945234692
4	ba	0.6085742335945763	0.606211992026912	0.0023622415676642916	0.48849538677858995	-0.22669023891692208
5	ce	0.6062135161141917	0.5849326007905078	0.021280915323683924	0.4737035614379793	-0.25328697768498953
6	df	0.6222382377854491	0.7322083173265186	-0.10997007954106952	1.0107350459741355	-0.12845171582024406
7	es	0.5503125080145921	0.5935379875332669	-0.043225479518674836	0.757906545170844	-0.1966812866772718
8	go	0.5419478239925417	0.5632234913466982	-0.021275667354156536	0.7281178165385807	-0.2146557220390377
9	ma	0.6446925287033359	0.614782692769055	0.02990983593428098	0.31564630834508767	-0.21557966644324544
10	mg	0.5351989565990654	0.5573455071321156	-0.022146550533050258	0.7309537970801874	-0.2171549046129565
11	ms	0.5521934396182211	0.5378631269306975	0.014330312687523605	0.7599217698751415	-0.19551135629330818
12	mt	0.5572076063170797	0.5253677402883083	0.03183986602877131	0.7478085638091236	-0.19457908180370231
13	pa	0.6492960044469243	0.6531197181322486	-0.0038237136853243037	0.44780978781926895	-0.20531299406917514
14	pb	0.6042835259479048	0.5892387035042046	0.015044822443700201	0.439510473480473	-0.24006383058105885
15	pe	0.623049645098777	0.6254239629131391	-0.002374317814362037	0.5782388943179197	-0.23034717309369568
16	pi	0.6190003335991985	0.6041808126924226	0.014819520906775852	0.3667337219501925	-0.22101354112681004
17	pr	0.5163502470866523	0.5170718554718527	-0.0007216083852004118	0.8368952650397441	-0.15799808212348343
18	rj	0.5804571322620775	0.6628047405998263	-0.08234760833774879	0.8561983444261456	-0.15617607654808863
19	rn	0.6006211567288433	0.6013080998208451	-0.0006869430920017905	0.5298513876019627	-0.24106725241282279
20	ro	0.5710409090157762	0.44980799751509637	0.12123291150067983	0.6931078119451375	-0.1511800648800531
21	rr	0.6511455903788924	0.5770874756534168	0.07405811472547563	0.5744400156550357	-0.12607259549148975
22	rs	0.49659357875956656	0.5280870569208993	-0.031493478161332744	0.8423648262377672	-0.15972795682468743
23	sc	0.45322412621042474	0.48917052383916526	-0.03594639762874052	0.8600287649735722	-0.15364504234225118
24	se	0.6236031329948007	0.6742357149169904	-0.05063258192218967	0.4260886668050564	-0.23828574527456026
25	sp1	0.49695154210913084	0.5414428198637014	-0.04449127775457051	0.8753852889216875	-0.15262807971550885
26	sp2_rm	0.5871505717499421	0.663628805149898	-0.07647823339995585	0.9382587252348062	-0.07741212073996928
27	to	0.6076381350633728	0.4771043900495249	0.13053374501384796	0.660821075061258	-0.1586693360040472
