	uf	gini(g)	parcela(ch)	p_total	p_1sal	p_nsal
0	ac	0.5800701372846113	0.42499744781404036	0.15507268947057096	0.8904059429902518	-0.10433345517490933
1	al	0.6047106796864716	0.5102386041873959	0.09447207549907577	0.7134693930320104	-0.25041223262758816
2	am	0.592287707437112	0.4348484801014153	0.1574392273356967	0.9481840884809503	-0.17194682692350094
3	ap	0.5828779000606643	0.4906258247836436	0.09225207527702073	0.9839283336653444	-0.17184815224773065
4	ba	0.6017063684068471	0.449293175190566	0.1524131932162811	0.7082933735978372	-0.2289271284734261
5	ce	0.6138423570206595	0.48807408522543205	0.12576827179522743	0.7085178019764367	-0.2524268832413177
6	df	0.6300727724761008	0.7147037432787078	-0.08463097080260695	1.2128896137457186	-0.1386919361339477
7	es	0.5976952879189994	0.5420947784194066	0.05560050949959283	0.9614531434065827	-0.1733791027864091
8	go	0.6110741526013039	0.45220371244052093	0.158870440160783	0.9554369294573484	-0.18186692438014873
9	ma	0.5927824336312961	0.41071914722384284	0.18206328640745328	0.5489583490571901	-0.2846456844352312
10	mg	0.5985704393321457	0.49870683922308223	0.09986360010906348	0.9631819381637398	-0.16354819637165008
11	ms	0.6161026824727853	0.4653313194783888	0.15077136299439653	0.9997788427093546	-0.15297097563511786
12	mt	0.6112770315059064	0.3596529348748668	0.2516240966310396	1.026381968911366	-0.16024277816690513
13	pa	0.6008183881329536	0.4566364083891832	0.14418197974377045	0.8380534923715974	-0.2123751511479659
14	pb	0.5858633552752457	0.45141694489212114	0.13444641038312455	0.6898784182281221	-0.2714365234254352
15	pe	0.6114092029072014	0.49568003092894	0.11572917197826138	0.8255024396359691	-0.20967916055891322
16	pi	0.6028465529343885	0.46945207067929473	0.13339448225509376	0.5636373431523449	-0.262780192295466
17	pr	0.5986418049703119	0.43219765833186363	0.1664441466384483	1.024401928900225	-0.10480474558027542
18	rj	0.5897778569484193	0.5895619778203574	0.00021587912806197984	1.1402291938367206	-0.10075555968289285
19	rn1	0.5970379159592243	0.486306946194181	0.11073096976504326	0.818390995344328	-0.24921156112535992
20	rn2	0.5858633552752457	0.45167031038107963	0.13419304489416606	0.6893205072507071	-0.2714673417536482
21	ro	0.5880144071342319	0.22747399514253686	0.36054041199169506	0.9098719625502321	-0.10949978513750347
22	rr	0.5680324478518798	0.36312415530323994	0.20490829254863985	0.9947279832977355	-0.14634543504046282
23	rs	0.5804878617427316	0.4948024285558681	0.0856854331868635	1.0494426942539168	-0.09549818434210111
24	sc	0.5678506348682644	0.4348599844033212	0.13299065046494318	1.082878778871944	-0.07258746323412235
25	se	0.6071288244242335	0.5543369650278138	0.05279185939641973	0.7038444998675696	-0.2428782106413241
26	sp	0.5781582129529967	0.4463262696762057	0.13183194327679104	1.1799809399520942	-0.002645042132218167
27	to	0.6083152690832925	0.20788568428741294	0.40042958479587953	0.7877202969627417	-0.19760251604199874
