,UF,COD,GINI(G),PARCELA(CH),P_TOTAL,P_1SAL,P_NSAL,MRENDA,MBEN_TOT,MBEN_1SAL,MBEN_NSAL
0,AC,12,0.5800701372846113,0.42499744781404036,0.15507268947057096,0.8904059429902518,-0.10433345517490933,487.02030999980724,68.0014458946232,17.733280638507065,50.268165256116134
1,AL,27,0.6047106796864716,0.5098682742138644,0.09484240547260725,0.71441702630834,-0.2503635564714891,388.4440883187388,79.36256257415424,28.39653932174082,50.966023252413414
2,AM,13,0.592287707437112,0.4348484801014153,0.1574392273356967,0.9481840884809503,-0.17194682692350094,526.6550204260616,62.19511752105749,18.289116095908447,43.90600142514904
3,AP,16,0.5828779000606643,0.4906258247836436,0.09225207527702073,0.9839283336653444,-0.17184815224773065,593.9407402615732,55.20768253669552,12.615208646970267,42.592473889725255
4,BA,29,0.6017063684068471,0.4493319189730872,0.15237444943375988,0.7082281575029938,-0.2289477119392953,389.7404247553098,69.42097859011862,28.24630729808469,41.17467129203393
5,CE,23,0.6138423570206595,0.48807408522543205,0.12576827179522743,0.7085178019764367,-0.2524268832413177,386.21186259640893,80.45679667371547,31.66505956049323,48.79173711322225
6,DF,53,0.6300727724761008,0.7147037432787078,-0.08463097080260695,1.2128896137457186,-0.1386919361339477,1197.2383343529998,194.137852766625,7.765184223513477,186.37266854311153
7,ES,32,0.5976952879189994,0.5420947784194066,0.05560050949959283,0.9614531434065827,-0.1733791027864091,588.7566103959249,96.5519871706121,19.4816781616285,77.07030900898359
8,GO,52,0.6110741526013039,0.45220371244052093,0.158870440160783,0.9554369294573484,-0.18186692438014873,577.2926550546264,61.629142154805876,18.46415221920761,43.16498993559827
9,MA,21,0.5927824336312961,0.4109488365708056,0.18183359706049051,0.5485631368590512,-0.28466482039135266,311.23914589436794,52.79111218161017,29.556101753367965,23.235010428242198
10,MG,31,0.5985704393321457,0.4987148422789571,0.09985559705318858,0.9631753719711226,-0.16355663783676067,559.4314736598548,96.13333772229419,22.474463418481808,73.65887430381238
11,MS,50,0.6161026824727853,0.4653313194783888,0.15077136299439653,0.9997788427093546,-0.15297097563511786,606.0419042195039,65.77443335696239,17.331150169745513,48.44328318721688
12,MT,51,0.6112770315059064,0.3596529348748668,0.2516240966310396,1.026381968911366,-0.16024277816690513,641.9415742336093,46.14008658222969,16.014812863392972,30.12527371883672
13,PA,15,0.6008183881329536,0.4566364083891832,0.14418197974377045,0.8380534923715974,-0.2123751511479659,464.84001797441306,59.86296637198261,20.31986434104233,39.543102030940275
14,PB,25,0.5858633552752457,0.4514183487614757,0.13444500651377,0.6898272930299232,-0.27140159334474856,361.44441986606256,86.12691400272286,36.364195562353764,49.762718440369085
15,PE,26,0.6114092029072014,0.49568003092894,0.11572917197826138,0.8255024396359691,-0.20967916055891322,445.5075437384617,95.253120682699,29.942726150159547,65.31039453253946
16,PI,22,0.6028465529343885,0.46943278914873865,0.13341376378564984,0.563691599739307,-0.26279311636980973,325.7813734698058,68.69887003094311,32.933415990201794,35.765454040741325
17,PR,41,0.5986418049703119,0.43219765833186363,0.1664441466384483,1.024401928900225,-0.10480474558027542,645.1292534464275,80.95827158341935,19.447141058608956,61.51113052481039
18,RJ,33,0.5897778569484193,0.5895619778203574,0.00021587912806197984,1.1402291938367206,-0.10075555968289285,802.4232236209078,177.73571921278923,14.461282659691893,163.27443655309736
19,RN,24,0.5970379159592243,0.4865371336936186,0.11050078226560567,0.8176798339047289,-0.24919710717119603,428.8253991706657,98.43093908161241,33.186021442391166,65.24491763922123
20,RO,11,0.5880144071342319,0.22747399514253686,0.36054041199169506,0.9098719625502321,-0.10949978513750347,562.6671492307719,38.078131832332495,17.558121100943005,20.520010731389487
21,RR,14,0.5680324478518798,0.36312415530323994,0.20490829254863985,0.9947279832977355,-0.14634543504046282,606.1293589986127,40.10030426283264,12.343974650018918,27.756329612813722
22,RS,43,0.5804878617427316,0.4948024285558681,0.0856854331868635,1.0494426942539168,-0.09549818434210111,664.6033550067388,124.55674680362802,19.71074873420027,104.84599806942775
23,SC,42,0.5678506348682644,0.4348599844033212,0.13299065046494318,1.082878778871944,-0.07258746323412235,668.6728323889193,95.93485417342458,17.068526660735753,78.86632751268884
24,SE,28,0.6071288244242335,0.5543369650278138,0.05279185939641973,0.7038444998675696,-0.2428782106413241,395.38987609103197,79.98153361916935,24.97895675724768,55.00257686192168
25,SP,35,0.5781582129529967,0.4462775257645538,0.13188068718844292,1.1801365664607244,-0.0026100112036242518,873.1034368385051,113.167491871142,12.86833147899224,100.29916039214976
26,TO,17,0.6083152690832925,0.20788568428741294,0.40042958479587953,0.7877202969627417,-0.19760251604199874,432.87594894809695,37.125063406497986,22.532696259231557,14.592367147266428
