,UF,COD,GINI(G),PARCELA(CH),P_TOTAL,CH_1SAL,P_1SAL,CH_NSAL,P_NSAL,MBEN_TOT,MBEN_1SAL,MBEN_NSAL
0,AC,12,0.5800701372846113,0.42499744781404036,0.15507268947057096,-0.31033580570564046,0.8904059429902518,0.6844035924595206,-0.10433345517490933,0.13962753605624809,0.03641178873734051,0.10321574731890756
1,AL,27,0.6047106796864716,0.5102572068214462,0.09445347286502548,-0.10867350908497353,0.7133841887714452,0.855104406781031,-0.2503937270945593,0.2043088438226741,0.07310328609877045,0.13120555772390366
2,AM,13,0.592287707437112,0.4348484801014153,0.1574392273356967,-0.35589638104383825,0.9481840884809503,0.764234534360613,-0.17194682692350094,0.1180946067327753,0.034726937723127814,0.0833676690096475
3,AP,16,0.5828779000606643,0.4906258247836436,0.09225207527702073,-0.40105043360468007,0.9839283336653444,0.754726052308395,-0.17184815224773065,0.09295149969402991,0.021239843963918845,0.07171165573011107
4,BA,29,0.6017063684068471,0.4492226420386858,0.15248372636816132,-0.10676586103395125,0.7084722294407984,0.8306372743646071,-0.22893090595776,0.17812106258595858,0.07247466648043639,0.1056463961055222
5,CE,23,0.6138423570206595,0.48807408522543205,0.12576827179522743,-0.09467544495577718,0.7085178019764367,0.8662692402619772,-0.2524268832413177,0.20832295552193528,0.08198883210789201,0.12633412341404326
6,DF,53,0.6300727724761008,0.7147037432787078,-0.08463097080260695,-0.5828168412696177,1.2128896137457186,0.7687647086100485,-0.1386919361339477,0.16215472491660496,0.006485913456579942,0.15566881146002504
7,ES,32,0.5976952879189994,0.5420947784194066,0.05560050949959283,-0.3637578554875833,0.9614531434065827,0.7710743907054085,-0.1733791027864091,0.1639930413786491,0.03308952768874652,0.13090351368990258
8,GO,52,0.6110741526013039,0.45220371244052093,0.158870440160783,-0.34436277685604444,0.9554369294573484,0.7929410769814527,-0.18186692438014873,0.1067554586312452,0.03198404146933142,0.0747714171619138
9,MA,21,0.5927824336312961,0.4109488365708056,0.18183359706049051,0.0442192967722449,0.5485631368590512,0.8774472540226488,-0.28466482039135266,0.16961591392982117,0.09496267466110792,0.07465323926871324
10,MG,31,0.5985704393321457,0.4987110922235716,0.09985934710857414,-0.36455120064165736,0.9631216399738031,0.7621057884489272,-0.16353534911678147,0.1718411320217302,0.040173755815795804,0.1316673762059344
11,MS,50,0.6161026824727853,0.4653313194783888,0.15077136299439653,-0.38367616023656925,0.9997788427093546,0.7690736581079032,-0.15297097563511786,0.10853116409775418,0.028597280236035128,0.07993388386171904
12,MT,51,0.6112770315059064,0.3596529348748668,0.2516240966310396,-0.4151049374054596,1.026381968911366,0.7715198096728115,-0.16024277816690513,0.07187583486443398,0.02494746174137806,0.04692837312305592
13,PA,15,0.6008183881329536,0.4566364083891832,0.14418197974377045,-0.2372351042386438,0.8380534923715974,0.8131935392809195,-0.2123751511479659,0.12878186915326584,0.04371367256543052,0.08506819658783532
14,PB,25,0.5858633552752457,0.4514773994385787,0.13438595583666701,-0.10384910349159271,0.6897124587668384,0.8572832353418036,-0.27141988006655793,0.23828536081602308,0.10060798718604907,0.13767737362997398
15,PE,26,0.6114092029072014,0.49568003092894,0.11572917197826138,-0.2140932367287678,0.8255024396359691,0.8210883634661146,-0.20967916055891322,0.21380809824988734,0.06721036842360997,0.14659772982627736
16,PI,22,0.6028465529343885,0.4694056602396599,0.13344089269472859,0.0390681126801411,0.5637784402542474,0.865667523819992,-0.2628209708856035,0.210874149431107,0.10109054314381832,0.10978360628728871
17,PR,41,0.5986418049703119,0.43219765833186363,0.1664441466384483,-0.42576012392991314,1.024401928900225,0.7034465505505874,-0.10480474558027542,0.12549155250815525,0.03014456553429859,0.09534698697385666
18,RJ,33,0.5897778569484193,0.5895619778203574,0.00021587912806197984,-0.5504513368883013,1.1402291938367206,0.6905334166313122,-0.10075555968289285,0.22149872284448943,0.018022014111749956,0.20347670873273951
19,RN,24,0.5970379159592243,0.48664117636245274,0.11039673959677154,-0.22030145232175702,0.8173393682809813,0.8462188121835686,-0.24918089622434436,0.22953616850115366,0.07738818994064214,0.1521479785605115
20,RO,11,0.5880144071342319,0.22747399514253686,0.36054041199169506,-0.32185755541600014,0.9098719625502321,0.6975141922717354,-0.10949978513750347,0.06767434687521656,0.03120516476738849,0.03646918210782806
21,RR,14,0.5680324478518798,0.36312415530323994,0.20490829254863985,-0.4266955354458557,0.9947279832977355,0.7143778828923426,-0.14634543504046282,0.06615799691518394,0.020365247890998743,0.0457927490241852
22,RS,43,0.5804878617427316,0.4948024285558681,0.0856854331868635,-0.4689548325111852,1.0494426942539168,0.6759860460848327,-0.09549818434210111,0.1874151640452749,0.02965791337902652,0.15775725066624838
23,SC,42,0.5678506348682644,0.4348599844033212,0.13299065046494318,-0.5150281440036797,1.082878778871944,0.6404380981023867,-0.07258746323412235,0.143470542732662,0.025525975984034308,0.1179445667486277
24,SE,28,0.6071288244242335,0.5543369650278138,0.05279185939641973,-0.09671567544333604,0.7038444998675696,0.8500070350655576,-0.2428782106413241,0.20228523403253484,0.06317550920675746,0.1391097248257774
25,SP,35,0.5781582129529967,0.4463293666967424,0.13182884625625435,-0.602109625005486,1.1802678379584828,0.5808435583208296,-0.0026853453678328254,0.1296152175060951,0.01473861049681385,0.11487660700928125
26,TO,17,0.6083152690832925,0.20788568428741294,0.40042958479587953,-0.17940502787944923,0.7877202969627417,0.8059177851252912,-0.19760251604199874,0.08576374708900583,0.05205347239546748,0.03371027469353834
