	UF	Renda(Total)	Renda(Beneficios)	Total(%)	Beneficio(>Sal)	Beneficio(>Sal)(%)	Beneficio(<=Sal)	Beneficio(<=Sal)(%)
0	ac	100986328.13464509	14103409.92057489	0.13965662660564124	10420017.37358348	0.10318245614089928	3683392.54699141	0.03647417046474194
1	al	395862536.283414	80887678.8139427	0.20433274533468845	51952122.861395	0.13123778609906236	28935555.9525478	0.07309495923562634
2	am	490178652.012439	57919058.5888904	0.11815908006418162	40898752.7484917	0.08343642176292457	17020305.8403986	0.03472265830125683
3	ap	100966903.528148	9380404.34928173	0.09290573466647534	7233964.48275341	0.07164688853448589	2146439.86652832	0.02125884613198944
4	ba	2101732469.88165	374405131.438487	0.178141193897799	222104288.688305	0.10567676517878218	152300842.750183	0.07246442871901729
5	ce	1162701349.02567	242250699.866138	0.20835161158894433	146935630.448931	0.1263743527708653	95315069.4172065	0.0819772588180786
6	df	1234788271.14197	200314995.879161	0.1622261893481573	192308002.480153	0.15574168217705914	8006993.39900878	0.006484507171098789
7	es	897354313.076541	147080995.608694	0.16390515258619873	117393586.943548	0.13082188967373332	29687408.665146	0.03308326291246541
8	go	1437530104.16763	153566110.801247	0.10682636165742496	107556681.63857	0.07482047250819022	46009429.1626769	0.03200588914923465
9	ma	625434921.025991	106101430.377514	0.1696442376505945	46692571.8375994	0.07465616368366967	59408858.5399141	0.094988073966924
10	mg	4954986391.6227	851458414.441729	0.17183869886732148	652451626.92482	0.13167576565455505	199006787.516911	0.04016293321276683
11	ms	599878584.100753	65113508.8313598	0.1085444797616306	47942489.7308108	0.07992032221433427	17171019.100549	0.028624157547296327
12	mt	725924511.463408	52214027.9753042	0.07192762766757212	34098337.6593985	0.04697229136216778	18115690.3159055	0.02495533630540407
13	pa	1049093449.75197	134998592.770927	0.12868118927140743	89166516.1260607	0.08499387366029378	45832076.6448657	0.04368731561111306
14	pb	518149745.552543	123470545.343224	0.2382912399417621	71340728.1820393	0.13768361133896379	52129817.1611856	0.10060762860280006
15	pe	1456805950.45194	311589754.597455	0.21388555867773026	213623896.549855	0.1466385392533461	97965858.0475994	0.06724701942438373
16	pi	367391062.747243	77431001.8224687	0.21075907846930814	40314953.7027956	0.10973308224030319	37116048.1196729	0.10102599622900443
17	pr	3071598988.54546	385630464.82454	0.12554713888845018	293005095.458395	0.09539171504843673	92625369.3661453	0.030155423840013556
18	rj	5949326829.95944	1317846483.35081	0.2215118652944798	1210607033.8371	0.2034863890382962	107239449.513717	0.018025476256184787
19	rn1	490185845.331449	112564369.166878	0.22963610687445565	74614107.3921549	0.15221595666782886	37950261.7747226	0.07742015020662575
20	rn2	518149745.552544	123470545.343224	0.23829123994176163	71340728.1820393	0.1376836113389635	52129817.1611856	0.10060762860279987
21	ro	323170717.344165	21867711.4694764	0.0676661290638783	11788075.2400311	0.03647630991107784	10079636.2294453	0.03118981915280045
22	rr	77032728.9590046	5085874.45320267	0.06602225472122739	3520834.55049022	0.04570569676122916	1565039.90271244	0.020316557959998087
23	rs	3649848892.46427	683969019.472046	0.18739653054794012	575739227.7252	0.15774330518556837	108229791.746846	0.02965322536237177
24	sc	1874444331.94485	268870520.62127	0.14344012038079598	221050376.435798	0.11792848294750091	47820144.1854715	0.0255116374332948
25	se	291724342.218964	59010192.253603	0.20228065921667523	40574728.6499214	0.13908585187404968	18435463.6036815	0.06319480734262523
26	sp	16353552423.5526	2119734681.46343	0.12961921829354706	1878670996.44926	0.11487846480031906	241063685.014176	0.014740753493228355
27	to	201352495.227657	17270586.009988	0.0857728929083357	6783759.78608354	0.03369096458632686	10486826.2239044	0.052081928322008544
